Date,Close,Open,High,Low
2016/11/8,0.545373951,0.542330408,0.545591347,0.541098497
2016/11/9,0.539852642,0.54528667,0.546301022,0.535505419
2016/11/10,0.54114002,0.542962286,0.54456588,0.539390645
2016/11/11,0.536800659,0.53978127,0.54043555,0.536509868
2016/11/12,0,0,0,0
2016/11/13,0,0,0,0
2016/11/14,0.539612952,0.541368504,0.544440721,0.538223139
2016/11/15,0.544754244,0.540505219,0.54504728,0.540065665
2016/11/16,0.546387233,0.546240295,0.548150483,0.543889295
2016/11/17,0.542825939,0.546055735,0.547890846,0.542532321
2016/11/18,0.546079811,0.545195113,0.546448435,0.543425717
2016/11/19,0,0,0,0
2016/11/20,0,0,0,0
2016/11/21,0.549240203,0.545923535,0.55056687,0.545186497
2016/11/22,0.54860901,0.549567601,0.551411046,0.547576682
2016/11/23,0.547166722,0.549085569,0.549823587,0.545912091
2016/11/24,0.548586982,0.548660995,0.549401129,0.546884675
2016/11/25,0.54619972,0.547751634,0.549377448,0.545904118
2016/11/26,0,0,0,0
2016/11/27,0,0,0,0
2016/11/28,0.551029729,0.546743285,0.551842675,0.546004243
2016/11/29,0.550304968,0.551118044,0.551709373,0.548161402
2016/11/30,0.549329368,0.549476978,0.552650586,0.548000881
2016/12/1,0.553973053,0.548883287,0.5547107,0.548735758
2016/12/2,0.554510956,0.553700052,0.556206483,0.55333146
2016/12/3,0,0,0,0
2016/12/4,0,0,0,0
2016/12/5,0.554276235,0.553026043,0.555747049,0.550525659
2016/12/6,0.553010839,0.553377996,0.554259171,0.551542214
2016/12/7,0.555678637,0.553987409,0.556340422,0.553105029
2016/12/8,0.556630588,0.554941826,0.557071134,0.554060733
2016/12/9,0.561471374,0.561101401,0.562729283,0.559917486
2016/12/10,0,0,0,0
2016/12/11,0,0,0,0
2016/12/12,0.562920355,0.562033284,0.564103116,0.561441903
2016/12/13,0.562258041,0.562110409,0.5634391,0.561593695
2016/12/14,0.55514028,0.56148137,0.563693378,0.554476678
2016/12/15,0.558985782,0.561296564,0.561967437,0.555482337
2016/12/16,0.558770323,0.558919349,0.559664475,0.556385919
2016/12/17,0,0,0,0
2016/12/18,0,0,0,0
2016/12/19,0.55598583,0.558892848,0.559787315,0.55524044
2016/12/20,0.559117461,0.557547746,0.559640699,0.556351773
2016/12/21,0.555902351,0.557691736,0.55821364,0.555231331
2016/12/22,0.552724335,0.555705588,0.55578012,0.551159177
