Date,Close,Open,High,Low
1992/2/7,3.875088484,3.875088484,3.875088484,3.875088484
1992/2/8,0,0,0,0
1992/2/9,0,0,0,0
1992/2/10,3.853392236,3.853392236,3.853392236,3.853392236
1992/2/11,3.89506619,3.89506619,3.89506619,3.89506619
1992/2/12,3.914286877,3.914286877,3.914286877,3.914286877
1992/2/13,3.916962304,3.916962304,3.916962304,3.916962304
1992/2/14,3.934942522,3.934942522,3.934942522,3.934942522
1992/2/15,0,0,0,0
1992/2/16,0,0,0,0
1992/2/17,3.934714133,3.934714133,3.934714133,3.934714133
1992/2/18,3.961126893,3.961126893,3.961126893,3.961126893
1992/2/19,3.963999764,3.963999764,3.963999764,3.963999764
1992/2/20,3.974220246,3.974220246,3.974220246,3.974220246
1992/2/21,3.973560236,3.973560236,3.973560236,3.973560236
1992/2/22,0,0,0,0
1992/2/23,0,0,0,0
1992/2/24,3.981539872,3.981539872,3.981539872,3.981539872
1992/2/25,3.973268187,3.973268187,3.973268187,3.973268187
1992/2/26,3.982875629,3.982875629,3.982875629,3.982875629
1992/2/27,3.957295246,3.957295246,3.957295246,3.957295246
1992/2/28,3.96064761,3.96064761,3.96064761,3.96064761
1992/2/29,0,0,0,0
1992/3/1,0,0,0,0
1992/3/2,3.960277519,3.960277519,3.960277519,3.960277519
1992/3/3,3.986833267,3.986833267,3.986833267,3.986833267
1992/3/4,4.002280259,4.002280259,4.002280259,4.002280259
1992/3/5,4.016048411,4.016048411,4.016048411,4.016048411
1992/3/6,4.00515032,4.00515032,4.00515032,4.00515032
1992/3/7,0,0,0,0
1992/3/8,0,0,0,0
1992/3/9,4.00919946,4.00919946,4.00919946,4.00919946
1992/3/10,4.006995034,4.006995034,4.006995034,4.006995034
1992/3/11,4.030417018,4.030417018,4.030417018,4.030417018
1992/3/12,4.022357723,4.022357723,4.022357723,4.022357723
1992/3/13,4.019600754,4.019600754,4.019600754,4.019600754
1992/3/14,0,0,0,0
1992/3/15,0,0,0,0
1992/3/16,4.021580082,4.021580082,4.021580082,4.021580082
1992/3/17,4.009650905,4.009650905,4.009650905,4.009650905
1992/3/18,3.992407389,3.992407389,3.992407389,3.992407389
1992/3/19,4.006737574,4.006737574,4.006737574,4.006737574
1992/3/20,4.030751415,4.030751415,4.030751415,4.030751415
1992/3/21,0,0,0,0
1992/3/22,0,0,0,0
1992/3/23,4.027459342,4.027459342,4.027459342,4.027459342
1992/3/24,4.018424854,4.018424854,4.018424854,4.018424854
1992/3/25,4.006822637,4.006822637,4.006822637,4.006822637
1992/3/26,3.998274729,3.998274729,3.998274729,3.998274729
1992/3/27,4.005713804,4.005713804,4.005713804,4.005713804
1992/3/28,0,0,0,0
1992/3/29,0,0,0,0
1992/3/30,3.9903495,3.9903495,3.9903495,3.9903495
1992/3/31,3.985813815,3.985813815,3.985813815,3.985813815
1992/4/1,4.002798347,4.002798347,4.002798347,4.002798347
1992/4/2,4.002297321,4.002297321,4.002297321,4.002297321
1992/4/3,3.982386671,3.982386671,3.982386671,3.982386671
1992/4/4,0,0,0,0
1992/4/5,0,0,0,0
1992/4/6,3.969522961,3.969522961,3.969522961,3.969522961
1992/4/7,3.978214455,3.978214455,3.978214455,3.978214455
1992/4/8,3.966096906,3.966096906,3.966096906,3.966096906
1992/4/9,3.972858445,3.972858445,3.972858445,3.972858445
1992/4/10,3.959877975,3.959877975,3.959877975,3.959877975
1992/4/11,0,0,0,0
1992/4/12,0,0,0,0
1992/4/13,4.007350548,4.007350548,4.007350548,4.007350548
1992/4/14,4.004140135,4.004140135,4.004140135,4.004140135
1992/4/15,4.024941112,4.024941112,4.024941112,4.024941112
1992/4/16,0,0,0,0
1992/4/17,0,0,0,0
1992/4/18,0,0,0,0
1992/4/19,0,0,0,0
1992/4/20,0,0,0,0
1992/4/21,4.041624707,4.041624707,4.041624707,4.041624707
1992/4/22,4.041209347,4.041209347,4.041209347,4.041209347
1992/4/23,4.040235365,4.040235365,4.040235365,4.040235365
1992/4/24,4.021394073,4.021394073,4.021394073,4.021394073
1992/4/25,0,0,0,0
1992/4/26,0,0,0,0
1992/4/27,4.012520937,4.012520937,4.012520937,4.012520937
1992/4/28,4.022594015,4.022594015,4.022594015,4.022594015
1992/4/29,4.017573929,4.017573929,4.017573929,4.017573929
1992/4/30,4.093047422,4.093047422,4.093047422,4.093047422
1992/5/1,0,0,0,0
1992/5/2,0,0,0,0
1992/5/3,0,0,0,0
1992/5/4,4.002716115,4.002716115,4.002716115,4.002716115
1992/5/5,4.002075715,4.002075715,4.002075715,4.002075715
