Date,Open,High,Low,Close,Adj Close,Volume
1997-07-02,429.290009,432.339996,388.480011,408.519989,408.519989,0
1997-07-03,406.350006,406.350006,386.760010,386.760010,386.760010,0
1997-07-04,379.429993,391.450012,373.690002,389.779999,389.779999,0
1997-07-07,389.579987,389.609985,356.299988,358.579987,358.579987,0
1997-07-08,354.470001,367.359985,342.339996,361.559998,361.559998,0
1997-07-09,363.010010,367.040009,356.989990,366.200012,366.200012,0
1997-07-10,366.329987,368.649994,360.029999,360.220001,360.220001,0
1997-07-11,358.200012,377.260010,357.859985,377.239990,377.239990,0
1997-07-14,391.299988,392.760010,385.839996,391.010010,391.010010,0
1997-07-15,null,null,null,null,null,null
1997-07-16,392.220001,393.420013,383.890015,387.679993,387.679993,0
1997-07-17,386.929993,393.190002,385.399994,392.829987,392.829987,0
1997-07-18,393.519989,397.200012,390.480011,396.910004,396.910004,0
1997-07-21,399.769989,400.950012,390.640015,393.059998,393.059998,0
1997-07-22,391.730011,399.480011,382.769989,399.329987,399.329987,0
1997-07-23,404.420013,408.660004,396.359985,398.350006,398.350006,0
1997-07-24,396.109985,398.519989,388.029999,388.420013,388.420013,0
1997-07-25,384.859985,389.700012,381.690002,386.190002,386.190002,0
1997-07-28,384.670013,384.670013,372.350006,373.570007,373.570007,0
1997-07-29,371.179993,379.709991,369.500000,376.000000,376.000000,0
1997-07-30,377.890015,385.809998,377.890015,385.709991,385.709991,0
1997-07-31,387.170013,388.779999,384.029999,385.450012,385.450012,0
1997-08-01,386.279999,388.130005,384.010010,387.369995,387.369995,0
1997-08-04,388.450012,392.079987,386.480011,391.519989,391.519989,0
1997-08-05,392.809998,394.559998,390.089996,390.880005,390.880005,0
1997-08-06,391.179993,391.679993,381.510010,381.850006,381.850006,0
1997-08-07,379.260010,385.470001,373.820007,385.390015,385.390015,0
1997-08-08,386.890015,388.049988,381.769989,382.279999,382.279999,0
1997-08-11,382.369995,382.600006,374.119995,374.500000,374.500000,0
1997-08-12,372.299988,374.049988,360.959991,360.989990,360.989990,0
1997-08-13,358.950012,364.670013,352.450012,352.630005,352.630005,0
1997-08-14,351.429993,364.220001,351.429993,364.140015,364.140015,0
1997-08-15,367.410004,368.339996,355.600006,358.600006,358.600006,0
1997-08-18,356.549988,358.600006,346.519989,349.299988,349.299988,0
1997-08-19,348.910004,351.320007,346.329987,348.230011,348.230011,0
1997-08-20,349.220001,352.320007,348.579987,351.910004,351.910004,0
1997-08-21,353.140015,359.929993,353.000000,359.920013,359.920013,0
1997-08-22,359.609985,365.140015,358.079987,364.880005,364.880005,0
1997-08-25,365.500000,368.790009,364.720001,368.790009,368.790009,0
1997-08-26,369.510010,372.760010,367.859985,372.049988,372.049988,0
1997-08-27,372.309998,375.359985,371.309998,375.290009,375.290009,0
1997-08-28,375.510010,376.600006,371.779999,374.739990,374.739990,0
1997-08-29,374.500000,374.720001,370.079987,373.290009,373.290009,0
1997-09-01,372.459991,376.450012,371.890015,374.929993,374.929993,0
1997-09-02,375.320007,377.549988,372.489990,375.480011,375.480011,0
1997-09-03,376.049988,381.540009,376.049988,381.410004,381.410004,0
1997-09-04,383.089996,384.549988,382.279999,384.160004,384.160004,0
1997-09-05,384.040009,384.160004,380.730011,383.429993,383.429993,0
1997-09-08,383.750000,384.679993,381.700012,384.429993,384.429993,0
1997-09-09,384.839996,385.790009,377.760010,377.799988,377.799988,0
