Date,Open,High,Low,Close,Adj Close,Volume
1989-02-20,1490.900024,1490.900024,1490.900024,1490.900024,1490.900024,0
1989-02-21,1490.199951,1490.199951,1490.199951,1490.199951,1490.199951,0
1989-02-22,1487.699951,1487.699951,1487.699951,1487.699951,1487.699951,0
1989-02-23,1467.199951,1467.199951,1467.199951,1467.199951,1467.199951,0
1989-02-24,1468.099976,1468.099976,1468.099976,1468.099976,1468.099976,0
1989-02-27,1433.599976,1433.599976,1433.599976,1433.599976,1433.599976,0
1989-02-28,1450.099976,1450.099976,1450.099976,1450.099976,1450.099976,0
1989-03-01,1460.800049,1460.800049,1460.800049,1460.800049,1460.800049,0
1989-03-02,1464.300049,1464.300049,1464.300049,1464.300049,1464.300049,0
1989-03-03,1487.699951,1487.699951,1487.699951,1487.699951,1487.699951,0
1989-03-06,1514.900024,1514.900024,1514.900024,1514.900024,1514.900024,0
1989-03-07,1511.599976,1511.599976,1511.599976,1511.599976,1511.599976,0
1989-03-08,1501.199951,1501.199951,1501.199951,1501.199951,1501.199951,0
1989-03-09,1503.199951,1503.199951,1503.199951,1503.199951,1503.199951,0
1989-03-10,1502.900024,1502.900024,1502.900024,1502.900024,1502.900024,0
1989-03-13,1497.599976,1497.599976,1497.599976,1497.599976,1497.599976,0
1989-03-14,1505.599976,1505.599976,1505.599976,1505.599976,1505.599976,0
1989-03-15,1509.099976,1509.099976,1509.099976,1509.099976,1509.099976,0
1989-03-16,1511.900024,1511.900024,1511.900024,1511.900024,1511.900024,0
1989-03-17,1511.900024,1511.900024,1511.900024,1511.900024,1511.900024,0
1989-03-20,1494.900024,1494.900024,1494.900024,1494.900024,1494.900024,0
1989-03-21,1500.400024,1500.400024,1500.400024,1500.400024,1500.400024,0
1989-03-22,1505.500000,1505.500000,1505.500000,1505.500000,1505.500000,0
1989-03-23,1506.300049,1506.300049,1506.300049,1506.300049,1506.300049,0
1989-03-24,1506.300049,1506.300049,1506.300049,1506.300049,1506.300049,0
1989-03-27,1506.300049,1506.300049,1506.300049,1506.300049,1506.300049,0
1989-03-28,1515.000000,1515.000000,1515.000000,1515.000000,1515.000000,0
1989-03-29,1524.800049,1524.800049,1524.800049,1524.800049,1524.800049,0
1989-03-30,1520.500000,1520.500000,1520.500000,1520.500000,1520.500000,0
1989-03-31,1527.699951,1527.699951,1527.699951,1527.699951,1527.699951,0
1989-04-03,1545.500000,1545.500000,1545.500000,1545.500000,1545.500000,0
1989-04-04,1545.500000,1545.500000,1545.500000,1545.500000,1545.500000,0
1989-04-05,1558.099976,1558.099976,1558.099976,1558.099976,1558.099976,0
1989-04-06,1570.900024,1570.900024,1570.900024,1570.900024,1570.900024,0
1989-04-07,1569.500000,1569.500000,1569.500000,1569.500000,1569.500000,0
1989-04-10,1584.800049,1584.800049,1584.800049,1584.800049,1584.800049,0
1989-04-11,1588.500000,1588.500000,1588.500000,1588.500000,1588.500000,0
